Date,"Weight (kg)","Fat mass (kg)","Bone mass (kg)","Muscle mass (kg)","Hydration (kg)",Comments
"2022-06-12 15:54:38",53.80,,,,,
"2022-06-11 16:28:10",54.52,,,,,
"2022-06-11 10:24:51",54.39,,,,,
"2022-06-10 06:02:11",54.07,,,,,
"2022-06-09 13:39:14",53.80,,,,,
"2022-06-08 15:06:00",53.57,,,,,
"2022-06-07 05:36:31",54.18,,,,,
"2022-06-06 14:11:56",54.07,,,,,
"2022-06-05 13:35:07",53.62,,,,,
"2022-06-04 16:51:18",53.72,,,,,
"2022-06-03 09:03:15",53.78,,,,,
"2022-06-02 15:21:29",54.07,,,,,
"2022-06-01 13:54:57",53.43,,,,,
"2022-05-31 11:42:04",53.90,,,,,
"2022-05-30 12:06:45",53.40,,,,,
"2022-05-30 09:31:26",54.15,,,,,
"2022-05-29 14:44:31",53.69,,,,,
"2022-05-28 15:01:38",53.34,,,,,
"2022-05-27 12:28:29",53.45,,,,,
"2022-05-26 14:59:28",53.64,,,,,
"2022-05-25 09:45:10",53.43,,,,,
"2022-05-24 10:57:29",53.64,,,,,
"2022-05-23 15:31:03",53.50,,,,,
"2022-05-22 14:10:14",53.81,,,,,
"2022-05-21 14:20:10",53.62,,,,,
"2022-05-20 12:19:43",53.66,,,,,
"2022-05-19 11:53:09",53.93,,,,,
"2022-05-18 11:10:45",53.82,,,,,
"2022-05-17 05:17:57",54.05,,,,,
"2022-05-16 14:30:25",54.05,,,,,
"2022-05-15 15:48:31",53.51,,,,,
"2022-05-14 14:17:56",53.54,,,,,
"2022-05-13 12:12:53",53.58,,,,,
"2022-05-12 10:27:21",54.18,,,,,
"2022-05-11 11:31:52",54.19,,,,,
"2022-05-10 13:58:20",53.84,,,,,
"2022-05-09 09:22:14",54.02,,,,,
"2022-05-08 13:58:38",53.42,,,,,
"2022-05-07 14:50:52",53.64,,,,,
"2022-05-06 12:22:36",53.75,,,,,
"2022-05-05 09:23:19",53.41,,,,,
"2022-05-04 09:41:39",53.80,,,,,
"2022-05-03 13:18:27",53.21,,,,,
"2022-05-02 11:03:32",53.23,,,,,
"2022-05-01 10:20:34",53.65,,,,,
"2022-04-30 15:09:54",53.92,,,,,
"2022-04-29 08:39:11",53.64,,,,,
"2022-04-28 04:07:20",53.83,,,,,
"2022-04-27 11:06:16",53.62,,,,,
"2022-04-26 11:15:24",53.27,,,,,
"2022-04-25 07:20:03",53.55,,,,,
"2022-04-24 15:26:06",53.75,,,,,
"2022-04-23 12:53:26",53.52,,,,,
"2022-04-22 10:41:53",53.08,,,,,
"2022-04-21 10:42:24",53.34,,,,,
"2022-04-20 06:39:22",54.09,,,,,
"2022-04-19 12:37:57",53.52,,,,,
"2022-04-18 07:46:42",53.42,,,,,
"2022-04-17 14:27:13",53.62,,,,,
"2022-04-16 14:54:51",53.70,,,,,
"2022-04-15 14:14:30",54.32,,,,,
"2022-04-14 17:37:20",54.00,,,,,
"2022-04-14 10:02:39",54.73,,,,,
"2022-04-13 11:36:56",53.36,,,,,
"2022-04-13 11:36:33",53.38,,,,,
"2022-04-12 07:30:16",53.58,,,,,
"2022-04-11 06:27:57",53.50,,,,,
"2022-04-09 11:16:39",53.51,,,,,
"2022-04-08 12:34:50",53.73,,,,,
"2022-04-07 10:31:21",53.46,,,,,
"2022-04-06 08:29:16",53.65,,,,,
"2022-04-05 15:26:37",53.28,,,,,
"2022-04-04 08:36:48",53.49,,,,,
"2022-04-03 14:47:16",53.33,,,,,
"2022-04-02 12:14:55",53.26,,,,,
"2022-04-01 09:02:38",53.09,,,,,
"2022-04-01 09:02:17",53.08,,,,,
"2022-03-31 11:19:43",53.45,,,,,
"2022-03-30 12:22:24",53.16,,,,,
"2022-03-29 08:17:38",53.47,,,,,
"2022-03-28 04:47:32",53.75,,,,,
"2022-03-27 15:51:08",53.56,,,,,
"2022-03-26 15:37:19",53.59,,,,,
"2022-03-25 05:26:20",54.11,,,,,
"2022-03-24 06:48:09",53.68,,,,,
"2022-03-23 16:04:19",53.73,,,,,
"2022-03-22 15:56:37",53.43,,,,,
"2022-03-21 12:03:23",53.42,,,,,
"2022-03-20 15:02:07",53.61,,,,,
"2022-03-19 15:01:16",53.66,,,,,
"2022-03-18 12:57:25",52.99,,,,,
"2022-03-17 04:32:02",53.46,,,,,
"2022-03-16 12:13:43",52.94,,,,,
"2022-03-15 07:55:28",53.38,,,,,
"2022-03-14 14:50:53",53.44,,,,,
"2022-03-13 15:19:16",53.14,,,,,
"2022-03-13 15:18:55",53.17,,,,,
"2022-03-12 17:17:56",54.05,,,,,
"2022-03-11 11:08:10",53.49,,,,,
"2022-03-10 10:50:37",53.43,,,,,
"2022-03-09 08:43:34",53.50,,,,,
"2022-03-08 08:11:47",53.29,,,,,
"2022-03-07 04:08:17",53.79,,,,,
"2022-03-06 15:12:22",53.37,,,,,
"2022-03-05 15:29:24",53.41,,,,,
"2022-03-04 07:51:47",53.91,,,,,
"2022-03-03 07:23:47",53.69,,,,,
"2022-03-02 11:18:13",53.24,,,,,
"2022-03-01 06:37:00",53.99,,,,,
"2022-02-28 12:21:34",53.73,,,,,
"2022-02-20 06:39:53",53.75,,,,,
"2022-02-19 17:13:36",53.74,,,,,
"2022-02-18 14:08:59",53.94,,,,,
"2022-02-17 04:55:03",54.43,,,,,
"2022-02-16 12:11:05",53.49,,,,,
"2022-02-15 11:29:21",53.06,,,,,
"2022-02-14 07:46:27",53.20,,,,,
"2022-02-13 15:31:14",53.56,,,,,
"2022-02-12 13:34:04",53.55,,,,,
"2022-02-11 12:35:31",53.10,,,,,
"2022-02-10 06:07:30",54.07,,,,,
"2022-02-09 09:02:32",53.55,,,,,
"2022-02-08 07:51:34",53.64,,,,,
"2022-02-07 10:42:15",53.75,,,,,
"2022-02-06 14:08:44",53.78,,,,,
"2022-02-05 15:33:41",53.30,,,,,
"2022-02-04 13:03:45",53.55,,,,,
"2022-02-03 06:14:38",53.81,,,,,
"2022-02-02 09:37:46",53.71,,,,,
"2022-02-01 10:56:04",53.61,,,,,
"2022-01-31 13:01:11",53.53,,,,,
"2022-01-30 10:52:23",53.81,,,,,
"2022-01-29 16:04:43",53.54,,,,,
"2022-01-28 12:16:47",53.21,,,,,
"2022-01-27 04:45:04",53.86,,,,,
"2022-01-26 11:29:20",53.75,,,,,
"2022-01-25 13:49:56",54.20,,,,,
"2022-01-24 09:32:09",53.79,,,,,
"2022-01-23 14:30:35",53.84,,,,,
"2022-01-22 11:51:03",53.65,,,,,
"2022-01-21 12:27:01",53.55,,,,,
"2022-01-20 04:22:39",54.14,,,,,
"2022-01-19 08:06:38",53.86,,,,,
"2022-01-18 08:32:38",53.72,,,,,
"2022-01-17 10:44:11",53.65,,,,,
"2022-01-16 16:36:09",53.32,,,,,
"2022-01-15 14:58:34",53.39,,,,,
"2022-01-14 10:26:18",52.60,,,,,
"2022-01-13 09:14:29",53.46,,,,,
"2022-01-12 07:33:50",53.26,,,,,
"2022-01-11 10:29:50",53.23,,,,,
"2022-01-10 09:54:28",54.16,,,,,
"2022-01-09 12:20:21",53.60,,,,,
"2022-01-08 13:17:16",53.67,,,,,
"2022-01-07 06:04:20",54.00,,,,,
"2022-01-06 04:12:53",53.96,,,,,
"2022-01-05 10:00:46",53.97,,,,,
"2022-01-04 09:07:47",54.01,,,,,
"2022-01-03 13:53:51",53.75,,,,,
"2022-01-02 12:50:12",53.98,,,,,
"2022-01-01 11:25:31",54.08,,,,,
"2021-12-31 13:34:42",53.95,,,,,
"2021-12-30 12:59:09",54.40,,,,,
"2021-12-30 12:58:44",54.49,,,,,
"2021-12-29 12:34:13",53.78,,,,,
"2021-12-28 11:00:51",53.40,,,,,
"2021-12-27 12:50:37",54.14,,,,,
"2021-12-26 14:21:50",53.63,,,,,
"2021-12-25 12:21:39",54.04,,,,,
"2021-12-24 12:33:40",53.95,,,,,
"2021-12-23 15:57:34",53.64,,,,,
"2021-12-22 10:11:08",54.06,,,,,
"2021-12-21 09:52:19",53.74,,,,,
"2021-12-20 10:47:09",54.10,,,,,
"2021-12-19 17:26:07",53.79,,,,,
"2021-12-19 17:25:51",53.83,,,,,
"2021-12-18 14:14:27",54.33,,,,,
"2021-12-17 13:42:38",54.23,,,,,
"2021-12-16 11:49:35",54.38,,,,,
"2021-12-15 14:45:04",54.23,,,,,
"2021-12-14 15:32:02",53.99,,,,,
"2021-12-13 07:52:04",54.41,,,,,
"2021-12-12 14:21:20",54.21,,,,,
"2021-12-11 15:01:36",53.95,,,,,
"2021-12-10 11:53:10",53.88,,,,,
"2021-12-09 05:50:23",54.39,,,,,
"2021-12-08 17:15:50",55.03,,,,,
"2021-12-07 04:20:22",54.60,,,,,
"2021-12-06 13:59:04",54.66,,,,,
"2021-12-05 13:39:31",53.65,,,,,
"2021-12-04 14:11:51",53.86,,,,,
"2021-12-03 09:14:23",54.30,,,,,
"2021-12-02 11:26:14",54.29,,,,,
"2021-12-01 17:52:43",54.49,,,,,
"2021-11-30 16:48:16",54.46,,,,,
"2021-11-29 13:11:58",54.06,,,,,
"2021-11-28 16:36:47",54.14,,,,,
"2021-11-27 13:22:05",54.39,,,,,
"2021-11-26 16:26:00",54.48,,,,,
"2021-11-25 08:21:33",54.43,,,,,
"2021-11-24 10:41:27",54.73,,,,,
"2021-11-23 10:10:44",55.09,,,,,
"2021-11-22 19:21:23",55.23,,,,,
"2021-11-21 10:08:39",54.07,,,,,
"2021-11-20 15:15:03",54.34,,,,,
"2021-11-19 12:07:37",54.37,,,,,
"2021-11-18 06:02:52",55.05,,,,,
"2021-11-17 10:36:10",54.64,,,,,
"2021-11-16 07:37:24",54.35,,,,,
"2021-11-15 10:24:02",54.61,,,,,
"2021-11-14 15:20:09",54.06,,,,,
"2021-11-13 11:54:22",54.70,,,,,
"2021-11-12 14:14:46",54.76,,,,,
"2021-11-11 11:30:06",54.89,,,,,
"2021-11-10 12:31:36",54.66,,,,,
"2021-11-09 07:07:05",55.23,,,,,
"2021-11-08 11:20:48",55.32,,,,,
"2021-11-07 14:18:38",54.64,,,,,
"2021-11-07 14:18:19",54.75,,,,,
"2021-11-06 13:41:09",55.09,,,,,
"2021-11-05 12:22:05",54.94,,,,,
"2021-11-04 04:28:58",55.69,,,,,
"2021-11-03 07:33:55",55.49,,,,,
"2021-11-02 10:01:51",56.02,,,,,
"2021-11-02 10:01:36",56.05,,,,,
"2021-11-02 10:01:14",56.37,,,,,
"2021-11-02 09:57:46",56.08,,,,,
"2021-11-01 15:03:15",55.47,,,,,
"2021-10-31 16:09:52",55.78,,,,,
"2021-10-30 16:37:37",55.51,,,,,
"2021-10-29 18:23:24",56.27,,,,,
"2021-10-29 12:20:55",55.87,,,,,
"2021-10-28 09:55:17",55.30,,,,,
"2021-10-27 11:48:09",55.76,,,,,
"2021-10-26 11:21:19",55.60,,,,,
"2021-10-25 15:31:35",55.98,,,,,
"2021-10-25 11:26:20",56.32,,,,,
"2021-10-24 22:58:08",56.46,,,,,
"2021-10-24 15:00:35",55.65,,,,,
"2021-10-23 10:19:30",55.84,,,,,
"2021-10-22 13:28:04",55.19,,,,,
"2021-10-22 13:27:42",55.29,,,,,
"2021-10-21 12:00:17",55.48,,,,,
"2021-10-21 06:51:24",55.59,,,,,
"2021-10-20 11:26:39",55.27,,,,,
"2021-10-19 12:15:45",55.46,,,,,
"2021-10-18 11:34:00",54.86,,,,,
"2021-10-18 11:33:38",54.90,,,,,
"2021-10-17 20:06:27",56.40,,,,,
"2021-10-17 12:00:00",56.02,,,,,
"2021-10-16 16:25:06",56.15,,,,,
"2021-10-15 23:43:08",55.92,,,,,
"2021-10-15 10:34:19",55.59,,,,,
"2021-10-14 10:52:43",55.87,,,,,
"2021-10-14 10:52:27",55.93,,,,,
"2021-10-13 10:54:57",56.35,,,,,
"2021-10-13 08:27:03",56.79,,,,,
"2021-10-12 10:55:30",56.02,,,,,
"2021-10-11 14:50:46",55.74,,,,,
"2021-10-10 22:56:54",57.14,,,,,
"2021-10-10 14:56:41",55.60,,,,,
"2021-10-10 02:26:26",55.74,,,,,
"2021-10-10 02:26:04",55.74,,,,,
"2021-10-10 02:25:38",55.81,,,,,
"2021-10-08 00:41:42",58.22,,,,,
"2021-10-06 13:52:49",56.36,,,,,
"2021-10-05 07:49:53",56.32,,,,,
"2021-10-05 07:49:23",56.35,,,,,
"2021-10-04 12:12:37",56.22,,,,,
"2021-10-04 12:12:18",56.22,,,,,
"2021-10-03 13:03:02",56.42,,,,,
"2021-10-03 13:02:38",56.40,,,,,
"2021-10-02 10:57:52",56.17,,,,,
"2021-10-01 11:29:06",56.06,,,,,
"2021-09-30 13:39:56",56.35,,,,,
"2021-09-30 10:56:34",56.53,,,,,
"2021-09-29 09:05:58",56.70,,,,,
"2021-09-28 14:28:00",55.93,,,,,
"2021-09-27 09:10:48",56.65,,,,,
"2021-09-27 09:10:16",56.67,,,,,
"2021-09-27 00:12:07",57.68,,,,,
"2021-09-26 23:26:59",56.90,,,,,
"2021-09-26 23:26:38",56.90,,,,,
"2021-09-24 12:32:13",56.32,,,,,
"2021-09-24 09:09:17",56.21,,,,,
"2021-09-24 09:08:49",56.30,,,,,
"2021-09-23 12:12:22",55.75,,,,,
"2021-09-22 10:42:36",56.44,,,,,
"2021-09-21 08:30:32",56.73,,,,,
"2021-09-20 20:45:22",56.61,,,,,
"2021-09-20 06:01:22",56.55,,,,,
"2021-09-19 23:17:38",57.17,,,,,
"2021-09-19 23:01:01",57.28,,,,,
"2021-09-19 22:58:52",57.19,,,,,
"2021-09-19 22:56:16",57.24,,,,,
"2021-09-19 22:54:54",57.30,,,,,
"2021-09-19 22:46:29",57.00,,,,,
